"","Country","ccode","region","deaths10k","deaths_tot","nurses10k","population_tot","vac_tot","vac10k"
"149","Slovakia","SVK","EURO",38.5034477153233,20986,60.55,5450421,7219030,13244.90346709
"150","Slovenia","SVN","EURO",43.6732426421543,9088,104.6,2080908,3021521,14520.2046414354
"151","Solomon Islands","SLB","WPRO",2.28419234392472,153,21.64,669821,766518,11443.6244907221
"152","Somalia","SOM","EMRO",0.881310810284023,1361,1.12,15442906,8726329,5650.70395429461
"153","South Africa","ZAF","AFRO",17.5201564622806,102595,49.74,58558267,38050611,6497.90592334298
"154","South Sudan","SSD","AFRO",0.124750115574654,138,3.4,11062114,2345851,2120.61727080375
"155","Spain","ESP","EURO",25.3479872833961,118976,61.44,46937060,112304453,23926.6057567304
"156","Sri Lanka","LKA","SEARO",7.89214496860634,16829,24.95,21323734,40116590,18813.1168771848
"157","Sudan","SDN","EMRO",1.17043240622053,5011,11.46,42813237,16815648,3927.67498519208
"158","Suriname","SUR","AMRO",24.0813398857512,1400,39.27,581363,554588,9539.44437468501
"159","Sweden","SWE","EURO",23.0328190545919,23563,118.5,10230185,23340793,22815.6118388866
"160","Switzerland","CHE","EURO",16.3004927013514,13928,182.6,8544527,16734587,19585.1531629545
"161","Syrian Arab Republic","SYR","EMRO",1.85294407799541,3163,15.41,17070132,4971203,2912.22294004522
"162","Tajikistan","TJK","EURO",0.134105451729923,125,47.53,9321023,18871161,20245.8045645848
"163","Thailand","THA","SEARO",4.86803837227585,33894,31.52,69625581,138977890,19960.7512072323
"164","The United Kingdom","GBR","EURO",30.8400460022934,205540,88.53,66647112,151248820,22693.9795980957
"165","Timor-Leste","TLS","SEARO",1.06718634001485,138,17.48,1293120,2011703,15556.9707374412
"166","Togo","TGO","AFRO",0.358806135683901,290,5.07,8082359,3398445,4204.76868201474
"167","Trinidad and Tobago","TTO","AMRO",31.0472849217438,4331,40.7,1394969,1588567,11387.8301238235
"168","Tunisia","TUN","EMRO",25.0643003796328,29312,25.14,11694721,13243659,11324.4762316262
"169","Turkey","TUR","EURO",12.3675852321235,101419,30.45,82003882,139694693,17035.1317026674
"170","Uganda","UGA","AFRO",0.819976025527412,3630,16.37,44269587,26299538,5940.76877202401
"171","Ukraine","UKR","EURO",25.2606950508736,111131,66.61,43993643,31668577,7198.44387517533
"172","United Arab Emirates","ARE","EMRO",2.40314595140528,2348,57.46,9770526,24922054,25507.3821000016
"173","United Republic of Tanzania","TZA","AFRO",0.145848336590239,846,5.67,58005461,35994687,6205.39624708784
"174","United States of America","USA","AMRO",33.5476662193071,1103936,156.9,329064917,662514513,20133.2466262273
"175","Uruguay","URY","AMRO",21.9947766016481,7614,72.17,3461731,8926009,25784.8140135672
"176","Uzbekistan","UZB","EURO",0.496335621116125,1637,112.8,32981715,74976351,22732.7023473461
"177","Vanuatu","VUT","WPRO",0.46685029444915,14,14.21,299882,292146,9742.03186586724
"178","Venezuela (Bolivarian Republic of)","VEN","AMRO",2.051842855419,5851,20.66,28515829,37860994,13277.1851030528
"179","Viet Nam","VNM","WPRO",4.47699111033319,43186,14.46,96462108,266058416,27581.6506104138
"180","Yemen","YEM","EMRO",0.740349007174493,2159,7.85,29161922,1242982,426.234594551072
"181","Zambia","ZMB","AFRO",2.26694602339372,4049,10.23,17861034,13614983,7622.72945676045
"182","Zimbabwe","ZWE","AFRO",3.86399264810362,5659,21.39,14645473,12694853,8668.1072028196
